1	动漫	古风	江灯远渡	Create one premium vertical wallpaper for category 动漫 / 古风. An ancient Chinese riverscape at night with a small lantern boat, misty distant mountains, willow silhouettes, and rippling ink-like water, with no characters present. Refined guofeng scene art with ink-wash atmosphere and delicate gongbi coloring. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, keep all key elements inside the middle 70-80% area with a 10-15% safe margin. No faces, no hands, no visible text, no watermark, no logo, no border.
2	动漫	奇幻	晶海圣殿	Create one premium vertical wallpaper for category 动漫 / 奇幻. A magical underwater crystal temple with glowing algae, submerged arches, shimmering ruins, and deep fantasy atmosphere, with no characters present. Premium anime-fantasy concept art for a mobile wallpaper. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, centered and safe with all major elements inside the middle 70-80% area and a 10-15% margin. No faces, no hands, no visible text, no watermark, no logo, no border.
3	动漫	少女	香氛绮梦	Create one premium vertical wallpaper for category 动漫 / 少女. A dreamy shoujo still-life world made of perfume bottles, pearls, satin ribbons, lace, and luminous mirror reflections, with no characters visible. Elegant anime-inspired rococo illustration. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper with all focal elements centered safely and a 10-15% safe margin. No faces, no hands, no visible text, no watermark, no logo, no border.
4	动漫	恋爱	温室心雨	Create one premium vertical wallpaper for category 动漫 / 恋爱. A romantic anime greenhouse at dusk with fairy lights, rain droplets on glass, blooming vines, and lingering warm afterglow, with no characters present. Soft-focus romance anime background art. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, all key elements centered within the middle 70-80% area and away from edges. No faces, no hands, no visible text, no watermark, no logo, no border.
5	动漫	机甲	轨道机库	Create one premium vertical wallpaper for category 动漫 / 机甲. A colossal mecha maintenance hangar in orbit with unfolded mechanical wings, docking platforms, warning lights, and layered hard-surface structures, with no pilot or human figure visible. Premium anime mecha concept art. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, keep the major forms centered safely with a 10-15% margin. No faces, no hands, no visible text, no watermark, no logo, no border.
6	动漫	校园	天台放学后	Create one premium vertical wallpaper for category 动漫 / 校园. An empty anime school rooftop after class with chain-link fencing, storage lockers, drifting papers, and a bright breezy sky, with no characters present. Youthful background art with clear cel-shaded atmosphere. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, centered and safe with all important elements away from edges. No faces, no hands, no visible text, no watermark, no logo, no border.
7	动漫	治愈	列车午憩	Create one premium vertical wallpaper for category 动漫 / 治愈. A cozy anime train carriage in afternoon light with soft cushions, faint rain traces on the window, gentle sun patches, and a calm healing mood, with no characters present. Polished cel-style illustration with light-novel cover ambience. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, all key elements centered in the middle 70-80% area with a 10-15% safe margin. No faces, no hands, no visible text, no watermark, no logo, no border.
8	动漫	热血	雷场决意	Create one premium vertical wallpaper for category 动漫 / 热血. A high-impact anime action scene built from thunder cracks, shattered stone arenas, torn banners, and explosive energy surges, with no character visible. Bold shonen poster style with dynamic storyboard motion. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, keep the main energy burst centered safely with a 10-15% margin. No faces, no hands, no visible text, no watermark, no logo, no border.
9	动漫	赛博	脉冲回廊	Create one premium vertical wallpaper for category 动漫 / 赛博. A cyberpunk transit corridor packed with hovering holographic frames, magnetic rail lines, reflective metal, and aggressive synthwave lighting, with no characters present. Premium anime cyber scene art with holographic UI flair. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, safe centered composition with a 10-15% margin. No faces, no hands, no visible text, no watermark, no logo, no border.
10	抽象	光影	彩窗余辉	Create one premium vertical wallpaper for category 抽象 / 光影. An abstract architectural light composition where stained-glass shadows and volumetric beams create a quiet yet dramatic space. Premium non-figurative wallpaper art. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, keep the main light geometry centered with a 10-15% safe margin. No faces, no hands, no visible text, no watermark, no logo, no border.
11	抽象	几何	晶格推进	Create one premium vertical wallpaper for category 抽象 / 几何. A refined geometric abstraction made of isometric lattices, sliced modules, precise connectors, and subtle depth. Premium parametric design artwork for mobile wallpaper. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, centered and safe with all forms kept within the middle 70-80% area. No faces, no hands, no visible text, no watermark, no logo, no border.
12	抽象	极简	弧影留白	Create one premium vertical wallpaper for category 抽象 / 极简. An ultra-minimal abstract composition with paper-like negative space, a single curved shadow form, and restrained color blocks. Premium minimalist wallpaper with calm balance. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, all elements centered safely with generous margins. No faces, no hands, no visible text, no watermark, no logo, no border.
13	抽象	流体	铬潮潜行	Create one premium vertical wallpaper for category 抽象 / 流体. A premium abstract liquid-metal flow with chrome ribbons, dark translucent currents, and sculpted highlights moving through the frame. Sleek generative-art feel. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, keep the main motion centered with a 10-15% safe margin. No faces, no hands, no visible text, no watermark, no logo, no border.
14	抽象	渐变	频谱漩幕	Create one premium vertical wallpaper for category 抽象 / 渐变. A smooth spectral abstract wallpaper with layered glowing gradients spiraling softly toward the center, clean and futuristic. Premium luminous interface-inspired digital art. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, centered safely with a 10-15% margin and no edge crowding. No faces, no hands, no visible text, no watermark, no logo, no border.
15	抽象	粒子	跃迁尘暴	Create one premium vertical wallpaper for category 抽象 / 粒子. A deep abstract particle field where dense luminous dust clouds surge inward like a starburst transition, with rich spatial depth. Premium volumetric digital art. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, main motion centered within a safe middle zone and 10-15% margin. No faces, no hands, no visible text, no watermark, no logo, no border.
16	抽象	纹理	陶面细语	Create one premium vertical wallpaper for category 抽象 / 纹理. A tactile abstract macro wallpaper showing cracked ceramic glaze, matte ridges, and refined material layering, premium and non-figurative. Micro-detail texture study with elegant restraint. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, centered safely with generous margins. No faces, no hands, no visible text, no watermark, no logo, no border.
17	抽象	霓虹	游机夜网	Create one premium vertical wallpaper for category 抽象 / 霓虹. A retro-futuristic neon abstraction with arcade laser grids, vapor haze, and sharp electronic light trails across a dark space. Premium electronic poster aesthetic for mobile wallpaper. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, all key light structures centered safely with a 10-15% margin. No faces, no hands, no visible text, no watermark, no logo, no border.
18	文字	EMO	潜室回声	Create one premium vertical wallpaper for category 文字 / EMO. An emotional textless poster-like scene of a dim room submerged in watery atmosphere, with floating cassette fragments, soft blur, and heavy ambient mood. Do not include any readable text. Premium experimental dark collage aesthetic. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, centered safely with a 10-15% margin. No faces, no hands, no visible text, no watermark, no logo, no border.
19	文字	励志	破晓阶路	Create one premium vertical wallpaper for category 文字 / 励志. A textless symbolic poster scene of ascending geometric steps leading into dawn light above clouds, uplifting and determined. Premium graphic storytelling composition. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, keep all key elements in the middle 70-80% area with a 10-15% safe margin. No faces, no hands, no readable text, no watermark, no logo, no border.
20	文字	日签	页角晨序	Create one premium vertical wallpaper for category 文字 / 日签. A clean textless daily-sign style composition built from card panels, stationery silhouettes, soft shadows, and modular layout cues, without any readable text. Premium minimal editorial still-life aesthetic. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, centered and safe with 10-15% margins. No faces, no hands, no readable text, no watermark, no logo, no border.
21	文字	祝福	愿光同至	Create one premium vertical wallpaper for category 文字 / 祝福. A warm textless blessing-themed composition with floating wish lanterns, soft ribbons, glowing halos, and festive gentleness, without any readable text. Premium celebratory illustration for mobile wallpaper. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, keep all key elements centered safely with a 10-15% margin. No faces, no hands, no readable text, no watermark, no logo, no border.
22	文字	节日	庆序繁光	Create one premium vertical wallpaper for category 文字 / 节日. A lively textless festive poster scene with ornamental garlands, hanging decorations, gift lights, and ceremonial richness, without any readable text. Premium collage-like decorative art. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, centered safely with a 10-15% margin. No faces, no hands, no readable text, no watermark, no logo, no border.
23	文字	躺平	吊床空白日	Create one premium vertical wallpaper for category 文字 / 躺平. A textless laid-back poster scene featuring an indoor hammock, plant shadows, a small coaster, and slow lazy air, with no readable text. Premium lifestyle illustration with healing flat shapes. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, all key elements centered with a 10-15% safe margin. No faces, no hands, no readable text, no watermark, no logo, no border.
24	萌宠	兔	绒耳午梦	Create one premium vertical wallpaper for category 萌宠 / 兔. A lop rabbit curled up in a greenhouse wooden crate among soft blankets, carrot leaves, and diffused sun through glass, with no human presence. Premium storybook illustration with plush tactile charm. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, keep the rabbit centered safely with a 10-15% margin. No human faces, no hands, no visible text, no watermark, no logo, no border.
25	萌宠	狗	海风短腿	Create one premium vertical wallpaper for category 萌宠 / 狗. A cheerful corgi standing on a seaside boardwalk in breezy air with a lightly fluttering scarf and open ocean backdrop, no human presence. Premium pet wallpaper with clean cartoon-rendered realism. Strict 9:16 portrait composition for a 1440x2560 phone wallpaper, the dog centered safely within the middle 70-80% area. No human faces, no hands, no visible text, no watermark, no logo, no border.
